전시명,장소,일정
바레인 ICT 미팅 컨퍼런스 및 박람회 2023,바레인  (Gulf Convention Centre),2023년 6월 예정
스위스 미래 연구소 컨퍼런스 및 박람회 2023 (온라인),스위스 바젤 (Congress Center Basel),2023년 6월 예정
UAE 두바이 디지털 게임 회의 및 박람회 2023,아랍에미리트 두바이 (DWTC (Dubai World Trade Centre)),2023년 6월 예정
UAE 두바이 마케팅 & 세일즈 컨퍼런스 및 박람회 2023,아랍에미리트 두바이 (Festival Arena),2023년 6월 예정
영국 디지털 보안 인식 컨퍼런스 및 박람회 2023,영국 런던 (ExCeL London),2023년 6월 예정
영국 런던 문서 보안 월드 컨퍼런스 및 박람회 2023,영국 런던 (ExCeL London),2023년 6월 예정
영국 인식기술 컨퍼런스 및 박람회 2023,영국 런던 (ExCeL London),2023년 6월 예정
이집트 카이로 기술 위크 박람회 2023,이집트 카이로 (Fairmont Heliopolis Hotel Cairo),2023년 6월 예정
중국 베이징 비전 박람회 2023,중국 베이징 (Beijing International Conference Center),2023년 6월 예정
중국 상하이 지능형 공장 박람회 2023,중국 상하이 (SWEECC (The Shanghai World Expo Exhibition & Convention Center)),2023년 6월 예정
중국 쑤저우 국제 오토메이션 및 로봇 박람회 2023,중국 쑤저우 (Suzhou International Expo Center),2023년 6월 예정
캐나다 토론토 VR·AR 회의 및 박람회 2023,"캐나다 토론토 (Toronto, ON)",2023년 6월 예정
터키 모바일페스트 박람회 2023 (온라인),터키 이스탄불 (Istanbul Congress Center),2023년 6월 예정
일본 나고야 IT 위크 박람회 2023,일본 나고야 (Port Messe Nagoya (Nagoya International Exhibition Hall)),2023년 07월 19일(수) - 21일(금)
인도 로봇 자동화 박람회 2023,인도 뉴델리 (Pragati Maidan),2023년 7월 예정
중국 상하이 국제 어셈블리 & 핸들링 박람회 2023,중국 상하이 (SNIEC (Shanghai New International Expo Centre)),2023년 7월 예정
중국 상하이 비전 박람회 2023,"중국 상하이 (Shanghai, National Convention & Exhibition Center)",2023년 7월 예정
DATAWORLD 2023,호주 시드니 (ICC Sydney),2023년 7월 예정
호주 정부 ICT 컨퍼런스 및 박람회 2023,호주 캔버라 (National Convention Centre),2023년 08월 08일(화) - 09일(수)
일본 간사이 교육 ICT 박람회 2023,일본 오사카 (INTEX OSAKA (International Exhibition Center)),2023년 8월 예정
중국 선전 국제 어셈블리 & 핸들링 박람회 2023,중국 선전 (Shenzhen International Convention & Exhibition Center),2023년 8월 예정
중국 월드 로봇 컨퍼런스 및 박람회 2023,중국 베이징 (Beijing International Conference Center),2023년 8월 예정
말레이시아 스마트 네이션 엑스포 & 포럼 2023,말레이시아 쿠알라룸푸르 (Malaysia International Trade & Exhibition Centre (MITEC)),2023년 09월 19일(화) - 21일(목)
네델란드 암스테르담 엣지 컴퓨팅 박람회 2023,네덜란드 암스테르담 (RAI Amsterdam Convention Center),2023년 09월 26일(화) - 27일(수)
WEST AFRICA COM 2023 (Online),나이지리아 온라인 (Online),2023년 9월 예정
남아프리카공화국 인공지능 박람회 2023,남아프리카공화국 케이프타운 (Century City Hotel),2023년 9월 예정
BEYOND EXPO 2023,미국 라스베가스 (The Venetian Expo),2023년 9월 예정
DATA & MEASUREMENT CONFERENCE PRESENTED BY GOOGLE 2023,미국 네이플스 (The Ritz-Carlton Golf Resort),2023년 9월 예정
스페인 디지털 기업 박람회 2023,스페인 마드리드 (IFEMA),2023년 9월 예정
싱가포르 인적 자원 기술 컨퍼런스 및 박람회 2023,싱가포르 싱가포르 (Suntec Convention Centre),2023년 9월 예정
UAE 부동산 IT 컨퍼런스 및 박람회 2023,아랍에미리트 두바이 (Festival Arena),2023년 9월 예정
영국 커넥티드 컨퍼런스 및 박람회 2023,영국 잉글랜드 (Business Design Centre Islington),2023년 9월 예정
북아프리카 심리스 전자상거래 컨퍼런스 및 박람회 2023,이집트 카이로 (Egypt International Exhibition Center (EIEC)),2023년 9월 예정
중국 로보틱스 박람회 2023,중국 상하이 (NECC (National Exhibition and Convention Center)),2023년 9월 예정
중국 선전 국제 전자 산업 박람회 2023,중국 선전 (SZCEC (Shenzhen Convention and Exhibition Center)),2023년 9월 예정
중국 청두 리지아 국제 지능형 설비 박람회 2023,중국 청두 (CCNICEC (Century City New International Convention & Exhibition Center)),2023년 9월 예정
중국 충칭 리지아 국제 지능형 설비 박람회 2023,중국 충칭 (China Chongqing International Expo Center),2023년 9월 예정
케냐 ICT 서밋 박람회 2023,"케냐 나이로비 (Radisson Blu Hotel, Nairobi)",2023년 9월 예정
LES SALONS SOLUTIONS LES RENCONTRES DU MANAGEMENT DE PROJET 2023,프랑스 파리 (Paris Expo Porte de Versailles),2023년 10월 03일(화) - 04일(수)
LES SALONS SOLUTIONS SERVEURS ET APPLICATIONS 2023,프랑스 파리 (Paris Expo Porte de Versailles),2023년 10월 03일(화) - 04일(수)
싱가포르 IT 박람회 테크위크 2023,싱가포르 싱가포르 (Sands Expo & Convention Centre),2023년 10월 11일(수) - 12일(목)
싱가포르 빅데이터 및 AI 월드 박람회 2023,싱가포르 싱가포르 (Sands Expo & Convention Centre),2023년 10월 11일(수) - 12일(목)
싱가포르 클라우드 박람회 아시아 2023,싱가포르 싱가포르 (Sands Expo & Convention Centre),2023년 10월 11일(수) - 12일(목)
일본 도쿄 IT 위크 박람회 2023 (추계),일본 도쿄 (Makuhari Messe),2023년 10월 25일(수) - 27일(금)
대만 국제 AIoT 박람회 2023,대만 타이베이 (TaiNEX(Taipei Nangang Exhibition Center)),2023년 10월 예정
미국 보스턴 AI 월드 컨퍼런스 및 박람회 2023,미국 보스턴 (Seaport World Trade Center),2023년 10월 예정
중국 웨이팡 산업 자동화 박람회 2023,알바니아 티라나 (Rogner Hotel Tirana),2023년 10월 예정
영국 금융 거래 유럽 컨퍼런스 및 박람회 2023,영국 잉글랜드 (Business Design Centre Islington),2023년 10월 예정
일본 기업 ICT 박람회 2023,일본 도쿄 (Tokyo Big Sight),2023년 10월 예정
일본 나고야 로봇 개발 및 어플리케이션 박람회 2023,일본 나고야 (Port Messe Nagoya (Nagoya International Exhibition Hall)),2023년 10월 예정
일본 비즈니스 인공지능 박람회 2023,일본 도쿄 (Tokyo Big Sight),2023년 10월 예정
중국 남부 자동차 제조 기술 및 어셈블리 & 핸들링 박람회 2023,중국 선전 (Shenzhen World Exhibition & Convention Center),2023년 10월 예정
중국 선전 국제 전자 오토메이션 레이저 박람회 2023,중국 선전 (Shenzhen World Exhibition & Convention Center),2023년 10월 예정
중국 우한 국제 어셈블리 & 오토메이션 기술 박람회 2023,중국 우한 (WIEC (Wuhan International Expo Center)),2023년 10월 예정
홍콩 HKTDC 국제 ICT 박람회 2023,중국 홍콩 (HKCEC (Hong Kong Convention and Exhibition Centre)),2023년 10월 예정
싱가포르 디지털 보안 인식 컨퍼런스 및 박람회 2023,싱가포르 싱가포르 (Suntec Convention Centre),2023년 11월 07일(화) - 08일(수)
싱가포르 인식기술 컨퍼런스 및 박람회 2023,싱가포르 싱가포르 (Suntec Convention Centre),2023년 11월 07일(화) - 08일(수)
영국 런던 글로벌 엣지 컴퓨팅 박람회 2023,영국 런던 (Olympia London),2023년 11월 30일(목) - 12월 01일(금)
남아프리카 ICT 서밋 박람회 2023,남아프리카공화국 이스트 런던 (EAST LONDON INTERNATIONAL CONVENTION CENTRE),2023년 11월 예정
미국 XR 박람회 2023,"미국 샌디에고 (San Diego, CA)",2023년 11월 예정
스위스 바이오로직스 페스티발 컨퍼런스 및 박람회 2023 (온라인),스위스 바젤 (Congress Center Basel),2023년 11월 예정
SMART DATA SUMMIT 2023,아랍에미리트 두바이 (Sofitel Dubai The Palm Resort & Spa),2023년 11월 예정
이집트 카이로 국제 IT 컨퍼런스 및 박람회 2023,이집트 카이로 (Cairo International Conference Center),2023년 11월 예정
중국 선전 비전 박람회 2023,중국 상하이 (SWEECC (The Shanghai World Expo Exhibition & Convention Center)),2023년 11월 예정
중국 선전 오토메이션 & EMA 박람회 2023,중국 선전 (Shenzhen World Exhibition & Convention Center),2023년 11월 예정
중국 이우 국제 제조 설비 박람회 2023,중국 이우 (YWIEC (Yiwu International Expo Center)),2023년 11월 예정
중국 청두 국제 산업 박람회 2023,중국 쓰촨성 (Western China International Expo City),2023년 11월 예정
BE 4.0 INDUSTRIES DU FUTUR 2023,프랑스 뮐루즈 (Mulhouse - Parc des Expositions),2023년 11월 예정
벨기에 STEREOPSIA 박람회 2023,벨기에 브뤼셀 (Brussels Expo),2023년 12월 예정
영국 AI 및 빅데이터 박람회 2023,영국 런던 (Olympia London),2023년 12월 예정
